row_idx	col_idx	log2ratio
35	19	202.919329638307
36	19	4107.14308742268
1	20	3178.35020578523
2	20	3306.3839952424
3	20	363.038720035364
4	20	341.020687260036
5	20	2386.7404806142
6	20	1792.35532100204
7	20	215.141020495996
8	20	575.658353347334
9	20	211.704503408143
10	20	310.665114156956
11	20	1125.79661511321
12	20	1054.26165626349
13	20	90.3251585780628
14	20	137.595927654227
15	20	137.595927654227
16	20	304.537425949241
17	20	347.713254570228
18	20	347.713254570228
19	20	0
20	20	0
21	20	118.595739657244
22	20	118.595739657244
23	20	3606.83658029863
24	20	2962.06361561599
25	20	2858.64705678208
26	20	3936.24296094545
27	20	4110.35785103062
28	20	1150.5897409944
29	20	1333.28560588295
30	20	1208.2258538615
31	20	957.764589253777
32	20	1191.79276164914
33	20	540.97006169065
34	20	540.97006169065
35	20	202.919329638307
36	20	4107.14308742268
1	21	3290.41899450419
2	21	3419.66472133779
3	21	445.515104068199
4	21	420.539395611712
5	21	2501.05940639345
6	21	1907.10976852109
7	21	120.512868582509
8	21	460.161666039315
9	21	101.877542064552
10	21	207.516680034741
11	21	1228.99842195305
12	21	1158.90101222187
13	21	198.516146117753
14	21	83.3774136978717
15	21	83.3774136978717
16	21	217.938571473677
17	21	262.853309194618
18	21	262.853309194618
19	21	118.595739657244
20	21	118.595739657244
21	21	0
22	21	0
23	21	3719.5509481716
24	21	3074.76362854584
25	21	2971.34409554841
26	21	4048.96269475771
27	21	4223.04935450781
28	21	1260.66862936344
29	21	1442.94416877832
30	21	1316.92438531171
31	21	1064.72707374043
32	21	1299.84831767085
33	21	656.758251265069
34	21	656.758251265069
35	21	100.609483272945
36	21	4220.62002025525
1	22	3290.41899450419
2	22	3419.66472133779
3	22	445.515104068199
4	22	420.539395611712
5	22	2501.05940639345
6	22	1907.10976852109
7	22	120.512868582509
8	22	460.161666039315
9	22	101.877542064552
10	22	207.516680034741
11	22	1228.99842195305
12	22	1158.90101222187
13	22	198.516146117753
14	22	83.3774136978717
15	22	83.3774136978717
16	22	217.938571473677
